grid_index,mtry,trees,min_n,mse_mean,mse_se,mae_mean,mae_se
1,18,682,3,0.0732474211984671,0.0336503790276155,0.0213188855069724,0.00216118245172293
2,16,1365,5,0.0639308970420862,0.0315939909821375,0.0216505912316992,0.00223820264230336
3,21,972,4,0.0724413748010694,0.0341730970226418,0.0214093329067738,0.00223802783975557
4,10,1037,5,0.0564841263397983,0.0274298623868287,0.0217336534937457,0.00234812501389379
5,10,1343,5,0.0635400951498072,0.0319457112478487,0.0219158897789511,0.0024107712424857
6,3,1166,4,0.0733826076495483,0.039585509588497,0.0226809818657369,0.00296364682819905
7,18,609,2,0.066665502418858,0.0318359492349155,0.0216616290778299,0.00223905416451165
8,13,1061,7,0.0628523153012708,0.0304041464585373,0.0220207804374015,0.00234142367147649
9,18,734,5,0.0630565544179849,0.0313869428275884,0.0218820964318748,0.00230665588905382
10,6,2120,2,0.0610787399778685,0.0309678580012791,0.0216770245813675,0.00249637392428329
11,21,990,8,0.079852997790174,0.0364697124517252,0.0219062414697013,0.00221064116584971
12,20,1473,5,0.0740230524315114,0.0343260708399804,0.0217064783675339,0.00218110099894439
13,16,1583,7,0.0647660114511948,0.0308067329495689,0.0217938403153483,0.0022349866717957
14,3,1320,4,0.0697621874777891,0.0366995891721769,0.0221756055153039,0.00277784807915866
15,3,1418,4,0.0688578163963192,0.0357685579721353,0.0223662995432678,0.00282376711918686
16,8,1650,7,0.0630621962640222,0.0320630799232849,0.0223001344945723,0.00251046008502995
17,3,509,5,0.0738845306167173,0.0351496022662798,0.0229254226547905,0.0028856907582159
18,11,730,3,0.0616990247195244,0.0296973721054737,0.0217775611154217,0.00238994329132532
19,2,1472,3,0.0742508606769013,0.0399356515225265,0.0226708866553206,0.00298131301387027
20,7,1046,7,0.0610584758204754,0.0316711536162478,0.0224575321756253,0.0026224525746908
21,5,1380,7,0.0679159648685222,0.0337370577809837,0.0226386117554223,0.00272916871739264
22,20,1747,5,0.0734736396196525,0.0339659106739797,0.0217576377980144,0.0021852362002477
23,7,1762,6,0.0634040665221152,0.032489430751783,0.0222092209623961,0.00254767469542698
24,16,1144,3,0.0630574562795653,0.0304464335072577,0.0214778593369276,0.00220322077268022
25,12,1661,3,0.0616255921523859,0.0289961642392699,0.0217235050653077,0.00232428065970156
26,19,963,5,0.0719823619487371,0.0344534482942312,0.0215408588329656,0.00217714744909803
27,18,1342,6,0.0708667291240952,0.034249912564287,0.0215962386351556,0.0022066615769894
28,20,1498,7,0.0700661193750155,0.0316431587932097,0.0216596834064261,0.00222959891418109
29,16,1420,1,0.068499900978232,0.0316065015434315,0.0214256604456422,0.00216195375130916
30,3,2015,2,0.0672111782550799,0.0377094669470733,0.0218299134802081,0.00281930945301185
31,11,1403,6,0.0591601614852784,0.0285223986416914,0.0219202680366197,0.00233068310909686
32,20,1620,7,0.0694630495914486,0.0320095278940214,0.0218468125640402,0.00220923858343332
33,22,1012,7,0.076003812195638,0.0339926814326745,0.0216360652226159,0.00223168698953721
34,8,910,3,0.0553573519807949,0.0270342085747885,0.0216355089088255,0.00238607113665582
35,23,1883,2,0.0812831202345004,0.0380984609035343,0.021182597686537,0.00218035517080397
36,5,689,4,0.0642458611245127,0.032458978029647,0.021996197645856,0.00257870189064592
37,10,1409,6,0.055784839603354,0.026554937693832,0.0221176941603179,0.00242041119023756
38,23,1048,5,0.0782048461720416,0.0364623082329111,0.0213075887970204,0.0021745824480965
39,15,2067,2,0.0617747144614947,0.0312417580548684,0.0214934664353527,0.00227295562199606
40,17,562,1,0.0636986797035822,0.030764339973178,0.0212888859319395,0.00222974567272674
41,9,1137,4,0.0592716356653944,0.030321183358129,0.0218619855464169,0.00243154344085278
42,10,1002,3,0.0572288505092172,0.0280192886982496,0.0217695029712061,0.00243110279181787
43,17,751,4,0.0670541127654778,0.0306515496532932,0.0215600551616941,0.00220204878329478
44,19,1803,4,0.067309132612156,0.0318976221191064,0.0215560311097532,0.00218830128118899
45,18,1863,7,0.0731760523809631,0.0351893725764548,0.021736639641619,0.00222736397045047
46,22,1574,5,0.0773870163829421,0.0357811242047363,0.0213490386801515,0.00219446420256757
47,6,877,5,0.0661907640310363,0.0316214191538158,0.0219841269064757,0.00250839148126723
48,16,491,3,0.0678556387535878,0.032679995958496,0.0212431857464305,0.0021344115309833
49,5,1574,5,0.059866403889876,0.0308412275064171,0.0221385098317465,0.00265042396392267
50,9,1099,2,0.0597282458179998,0.0309315964967698,0.0216122586774552,0.00231744338636597
51,17,898,6,0.0750921413354143,0.0381731345460025,0.0218168586619788,0.00226099717330107
52,15,998,8,0.0657570748188434,0.0332904420556839,0.0219962951968343,0.00224299746792675
53,7,1236,1,0.060654669424205,0.0306510100783563,0.0215672086680188,0.00241681239448956
54,21,1414,7,0.0745584084546416,0.0338492225912622,0.02145341392971,0.00214220118805363
55,10,2097,7,0.0622254267777262,0.0312226053676472,0.0220453635156684,0.00239361366873383
56,19,1986,8,0.0680386692003173,0.0320316257969241,0.0218054651057126,0.00219756718096264
57,15,523,5,0.0633242061947236,0.0300338951153682,0.0218829545400384,0.00225710178765229
58,20,1183,7,0.0712282518832219,0.0333926292167298,0.0219569593803933,0.00220103945149386
59,2,696,6,0.0756288280139036,0.0406777327302284,0.0230892997241681,0.00292011099886663
60,14,973,4,0.0674201594677297,0.0325326617956918,0.0219635533018117,0.00226618879263686
61,4,1327,1,0.0636746425089985,0.0327457297909121,0.0216360538100438,0.0026597486713268
62,23,652,4,0.0802871325160185,0.0367033253214086,0.0213750139241536,0.00211549472379422
63,14,1799,4,0.0681362580278684,0.033926860926622,0.0216851501646782,0.00227470434248434
64,17,1566,7,0.0694893393299455,0.033205019320859,0.0218411625636716,0.00221478087267756
65,7,1605,6,0.0600782918698849,0.0304728616458327,0.0222933535140551,0.00257544528928096
66,6,1647,6,0.0591874971506542,0.0299761916383721,0.0222728069283205,0.00263053047685892
67,8,2184,7,0.0626962991462854,0.03061696683925,0.0222977947405678,0.00246243878260126
68,9,2150,3,0.058438014882911,0.0279728846178468,0.0217430431827456,0.00239980993813301
69,16,1606,5,0.0659404051794623,0.0312614771948639,0.0218417587251703,0.00226041213575042
70,8,2163,3,0.0641693422076631,0.0327440219557204,0.0218595748917034,0.00245935596208753
71,22,1698,4,0.0799191086105779,0.0355116038819961,0.0215739214564428,0.00220996841402136
72,12,665,2,0.0622379211667566,0.0303727561147758,0.0214869045729558,0.00230437511061851
73,17,2039,5,0.0690529764728057,0.0328933829700408,0.0216257862855118,0.00217915537544356
74,21,1246,5,0.0761600764831923,0.0364601563171733,0.021607447894131,0.00222266007405467
75,13,1155,3,0.0576884986250005,0.0279493200389776,0.0213985649359667,0.00224855864750123
76,7,553,5,0.0584649322761158,0.031524612409487,0.0218622026711898,0.00250813599064349
77,11,1079,3,0.0636011976807268,0.0328853109818055,0.0216435054015942,0.00237255032224524
78,16,2019,1,0.0658772535473706,0.0309526292766395,0.0215126206472103,0.00217510759264254
79,20,1218,6,0.0710116934153899,0.0325036978544401,0.0217371917401573,0.00217911339584277
80,18,648,6,0.0777656223375477,0.0357074719227875,0.0218389661160944,0.00222371865230426
81,11,1407,2,0.0575235592161192,0.0288228306620796,0.0216359366447612,0.00232398983657517
82,3,1094,2,0.0649437336818146,0.0352244694991214,0.0220719681848457,0.00279551127372337
83,21,1037,7,0.0803425797668019,0.0361370021812389,0.0217133794552165,0.00219165433404686
84,10,1778,2,0.0586024220909363,0.0309724976129902,0.0215843276541844,0.0023415495260963
85,6,1725,3,0.0594103578004094,0.0303741236441213,0.0219283503338235,0.00255035159101398
86,2,847,1,0.0748147378486428,0.040703829448197,0.0224680346576496,0.00295455258559187
87,21,1698,5,0.0740572267226767,0.0342994619138224,0.0214178641184826,0.0022116357706979
88,17,1291,4,0.0674288807028895,0.0326617785742191,0.0216077755504856,0.00218789048176773
89,6,1795,2,0.0582693017562558,0.0298536214040201,0.0219206644575857,0.00255179307332677
90,3,675,8,0.0684235601420918,0.0338946174435487,0.0236054886278094,0.00293251257170256
91,18,1288,7,0.0736341859076467,0.0340928468572258,0.021832204535454,0.00221712861217381
92,4,1835,2,0.0653846334576542,0.0349331655285149,0.0218961569470895,0.00268890640120512
93,8,498,3,0.0624457647050946,0.0302194907396179,0.0217640136258576,0.00241191002095389
94,15,1209,3,0.0628170207027779,0.0306112835024668,0.0214178304987441,0.00225161326587172
95,4,1952,8,0.0691758136459522,0.0358190214030599,0.0229119073171561,0.00282507209747125
96,6,1598,4,0.0594170769256032,0.0296855487438318,0.0218664063999879,0.00253003625161391
97,3,1445,4,0.0660387558216859,0.0369372842435214,0.022092303986668,0.00289297421514626
98,8,1759,5,0.0620576733109833,0.0310285818748865,0.0219004012344992,0.00245952757306864
99,8,773,7,0.0590186753422367,0.0302557584799073,0.0224246532692411,0.00256838289551718
100,20,830,8,0.0753300399182576,0.0351852508798607,0.0218051638689199,0.00215010709898533
101,8,656,1,0.0554620571005737,0.0276881473619699,0.0216994168927448,0.00245156555847662
102,14,946,7,0.0702451112383044,0.033488049115012,0.0222477612524284,0.0023840421957323
103,5,1505,7,0.0687495940207717,0.0352604197397652,0.0225975472802628,0.00268762371240415
104,5,691,2,0.0580836848187419,0.0297366360793148,0.0216630620788486,0.00259143848880267
105,5,1083,4,0.0635609107213747,0.0341496876279146,0.0216540083511873,0.00257203494675389
106,9,1177,7,0.0610536802740226,0.0315496842089947,0.0219669871853079,0.00237746404924807
107,6,840,6,0.0659933829706106,0.0337111290759941,0.0224244859575816,0.0026069043900774
108,18,1198,7,0.0760843396149309,0.0358336047088208,0.0218300173586892,0.0022283753707303
109,5,1827,4,0.0626778442053138,0.0330260420035794,0.0221355793492615,0.00268334597229861
110,12,969,3,0.0591060073632735,0.0289363278087339,0.0215273722891403,0.00228911332660844
111,12,2061,5,0.0631825262063898,0.031383317271516,0.0218584719196536,0.00228764984937033
112,15,1330,6,0.063094788093829,0.0302408114451657,0.0216502811998159,0.00228078054394495
113,10,1689,7,0.0581043660035554,0.0290963371955799,0.0221629874689864,0.00239574457195878
114,10,1317,2,0.0539619841967429,0.0271875416740158,0.0215036795064241,0.00233512295533035
115,10,917,4,0.0590434429855168,0.0293414708500637,0.0221017869798056,0.00244455586625606
116,4,1282,7,0.0691556525118485,0.0363066022833699,0.0226735292058607,0.00279040216802512
117,18,1466,5,0.0735446375101394,0.0361054294982412,0.0216170400004129,0.00220616903567049
118,4,1142,4,0.0637055785667065,0.0324937299585561,0.0222462007041718,0.00271140754894873
119,19,892,5,0.073536507410923,0.035114714176432,0.0215875441117003,0.00215687321773707
120,4,1922,2,0.0614283028980144,0.0337158487499588,0.0219020328072525,0.00274184709647318
121,7,703,4,0.0605604210508597,0.0312437479194685,0.0218116235940093,0.00247322504231583
122,14,1565,2,0.0609249300751215,0.0297829220904187,0.021557903672873,0.0022268186380068
123,15,1814,2,0.062143481325109,0.0297402423889679,0.0216174633965636,0.00223686343052022
124,7,2251,1,0.0580245447708535,0.0286403583923672,0.0217949385552597,0.00252835256731956
125,11,2215,2,0.0633794053694272,0.0315101591646899,0.0214162810949841,0.00227708097975134
126,7,1547,4,0.0571169980952222,0.0281910142593662,0.0219392484319657,0.00250117150841205
127,9,988,3,0.0564752382551356,0.0283503643138573,0.0217301537811155,0.00237336887922247
128,15,959,3,0.0612654298928081,0.0305288437684807,0.0213641418017628,0.00221508543056448
129,3,897,4,0.0702654007020602,0.0372938876050505,0.0225358901657759,0.00284315891193644
130,16,708,8,0.0683402756819078,0.0339691272292576,0.0218930770716629,0.00224788896825424
131,21,914,4,0.0799443300604054,0.037589033381769,0.0218172414137292,0.00220388257015178
132,7,2232,3,0.0572517648484213,0.0292556395835819,0.0217776731066994,0.00251413994142836
133,18,644,2,0.0740912997221274,0.0341089764982563,0.0215783602845375,0.00212390814987485
134,17,627,8,0.0727866451125043,0.03385818944162,0.0220143531805291,0.00223479453645253
135,5,508,5,0.0581288011925861,0.0299892934775338,0.0222477600250164,0.00261881326676199
136,10,1485,6,0.0589147415011817,0.0281963214634233,0.0219818818976658,0.00239111771515305
137,9,745,5,0.0609672580755758,0.033704675547025,0.0216140047422749,0.00235265382351241
138,10,843,7,0.060120481649536,0.0274620039252533,0.022394803657186,0.00249064536648598
139,9,651,5,0.0646008807305342,0.033898157112081,0.022065139655798,0.00243191677240628
140,6,1686,6,0.0608401039357453,0.0316443416229975,0.022332111808158,0.00256851713983145
141,4,1051,4,0.064647274582373,0.03536627974159,0.0221875377603033,0.0027068438387055
142,23,1123,8,0.0771637232463941,0.033120164747721,0.0219618109706633,0.0021716959084138
143,20,1420,4,0.0722612996544233,0.0335767375233172,0.0216040750761304,0.00224139019010091
144,15,2086,8,0.0685546515222663,0.0332149454231608,0.0221011756799667,0.0023156047058622
145,4,883,5,0.0690625150815106,0.0369658325824734,0.0224152670812702,0.00272441515018027
146,7,1865,8,0.0663474666899871,0.0332593909883267,0.0225031830904072,0.00258014192632112
147,12,1844,6,0.068531797147966,0.0335098593313911,0.0221277717979977,0.0024115907845485
148,20,1202,1,0.0752829560570343,0.0359960281928955,0.0212161757750752,0.00212611921681446
149,6,1024,4,0.0613801671079742,0.0323356968583919,0.0221083552638689,0.0025767978728657
150,19,1501,4,0.0667005024336717,0.0313851483240425,0.0213824942372835,0.00220129228442152
151,19,1963,2,0.0732767337700912,0.0341642999539734,0.0214081064741663,0.00216375561009894
152,17,1921,3,0.067562192505803,0.0317815137293353,0.021415517819427,0.00215151702272563
153,7,561,6,0.061845700934287,0.0304920382292574,0.0222688831883402,0.00247013017234093
154,17,1340,3,0.0662913240642286,0.0325065036384853,0.0215529381254856,0.00220378266003413
155,4,1854,5,0.0661984968696704,0.0338258086583772,0.0223395625827464,0.00273146175853806
156,17,489,3,0.0655035888779124,0.0330370044063871,0.0212434228510299,0.00216043019279944
157,14,904,5,0.0657673752192404,0.0320714090775272,0.0217812886380915,0.00230323434893673
158,19,1837,6,0.0702894597015731,0.0333808182359512,0.0216254718230478,0.00223821389391662
159,7,564,7,0.0596340464046852,0.0298886133880957,0.0223986789198645,0.00261024024537538
160,14,1881,5,0.0636555973269433,0.031528447751466,0.0215024047687849,0.00224198356012605
161,15,1865,3,0.0600748546718627,0.0293376620354647,0.0213803710171258,0.00222468908933417
162,2,561,6,0.0818890703592992,0.0410428075663737,0.0234953406007726,0.00318210192761835
163,9,1951,7,0.0671845835483962,0.0321962591004548,0.0222434551281303,0.00243074982936753
164,16,1529,2,0.0576948422680231,0.0271317302980265,0.0212837090860547,0.00223796054557337
165,10,1051,3,0.061909807794018,0.0291190505697102,0.021938762122755,0.00233135609401337
166,17,2227,2,0.0671719337586031,0.0321563572771852,0.0215546445988679,0.00216943987876755
167,7,1788,4,0.0625444445598791,0.0325668583323999,0.0219931091905562,0.00251306059326568
168,3,1340,6,0.0659532940989734,0.037009941152645,0.0228259197160614,0.00290245085983523
169,14,1922,1,0.0653852799774026,0.0311533853054198,0.0215080826931983,0.00225881435750589
170,9,2171,3,0.0593253621368894,0.0298812673443532,0.0216548796241048,0.00237361026182081
171,17,1962,6,0.0651544523099002,0.0308401928282971,0.0217264590781953,0.00224130493814973
172,22,1386,2,0.0742135761413274,0.0346857872070436,0.0212935552207338,0.00219261825035313
173,13,1185,4,0.0588831007086002,0.0300701794736524,0.0216669934995824,0.0023433659735529
174,9,1714,1,0.0610806146581347,0.0308549515244246,0.0215519060984442,0.00233429636531827
175,8,1618,3,0.0594344328152471,0.029374049502165,0.0217735623825064,0.00246848771584151
176,14,1365,8,0.0670026587417502,0.0326252066732703,0.0220696524759282,0.00226407871106824
177,5,1444,6,0.06877477976694,0.0344739212505938,0.0223256256149446,0.00266023003843636
178,21,892,7,0.0786859293578508,0.0359806271526678,0.0219652586977249,0.0021829767628774
179,12,1744,6,0.0598945921116627,0.0280736136669254,0.0219544238912244,0.00239078402099506
180,8,1394,5,0.0630417170811461,0.031184334947355,0.0218734255612407,0.0024076398351608
181,6,1953,4,0.0584368666985531,0.0282910209637366,0.0219109524367056,0.00254271399353548
182,6,871,4,0.062184231660165,0.0318388917385309,0.0215271214091053,0.00249781758864493
183,7,2125,1,0.0597360451862153,0.0309258966576128,0.0216837727930142,0.00246336404152128
184,18,671,2,0.0704730260463365,0.0317334990145885,0.0215446826425112,0.00220658532799023
185,8,2158,8,0.0603988865660822,0.0314460475217819,0.0224840201843993,0.00252942049254421
186,15,1868,6,0.0686984099644717,0.0318272418205355,0.0217571176241021,0.00226866562925433
187,4,1939,7,0.0695795795774788,0.0355415266704203,0.0230088295013021,0.00289488570237986
188,5,656,4,0.0625950949888072,0.0327329104212462,0.022241451543991,0.00266295473986952
189,18,1260,6,0.0663072850852151,0.0306729687941078,0.0216717236501426,0.00223335184532775
190,8,1320,4,0.0580254873946435,0.0271513267394108,0.0218012657720021,0.00239191657823427
191,4,1510,6,0.066251249904815,0.0339477105216542,0.0225884658894669,0.00277845720839881
192,16,715,6,0.0672448235896414,0.0333973055027036,0.02173625285678,0.00219328522797438
193,2,770,7,0.0737624697085867,0.0377827451593695,0.0236424583617781,0.00304512708564965
194,21,1966,5,0.0759886112092632,0.0336100379759304,0.0216485559343805,0.00218357398425037
195,14,842,8,0.0626538792295721,0.0312743969484666,0.0222992439453374,0.00234921865226167
196,17,544,3,0.0632796136642195,0.0294559712542504,0.0215028109057856,0.00222506808286323
197,5,1186,3,0.0617568364286384,0.0320723074257673,0.0217972348879598,0.00262712844235951
198,3,822,1,0.0684362450570082,0.0368928897482873,0.0221966362810645,0.002893171386432
199,15,1220,1,0.0598877787049681,0.0283586268793935,0.0213822807684424,0.00221045839590146
200,14,1435,6,0.0626139477436586,0.0299808486790136,0.0217927607361534,0.00229606902007602
201,14,568,1,0.0607333239073994,0.0289272416507686,0.0216940915898712,0.00240384327481217
202,12,1484,4,0.0639223367783483,0.0316339842404926,0.0216800940057882,0.00228864922241464
203,14,795,5,0.0622965750248382,0.0290284392829626,0.0214786482379292,0.0022653953758857
204,7,1529,3,0.061449085124523,0.0322686434601822,0.0219385286892216,0.0025048288963111
205,5,2196,2,0.0594221316291524,0.0310675806043671,0.0217313292085571,0.00256757569697613
206,5,654,5,0.0604525778278008,0.0328007963731073,0.0222770165674575,0.00264483458378366
207,18,1912,5,0.0735974730486225,0.0345223324099345,0.0216104709266174,0.00221482421460588
208,19,2015,4,0.0727625922140163,0.0341564904170602,0.0215919598356077,0.0022106097013945
209,22,1216,4,0.0776007112106735,0.0348447283150588,0.0214709740940027,0.00216413826617109
210,22,1717,6,0.0764794986494721,0.0346017112884358,0.0213926542490573,0.00224486895454712
211,13,866,8,0.0635216390284981,0.0302651493383915,0.0220815836947388,0.00230105064462352
212,21,1598,7,0.0713529999380769,0.0323098251182511,0.0215639395185998,0.00218986721185645
213,17,2072,4,0.0682985422946759,0.0321132521216204,0.0215651543161044,0.00224552115601805
214,6,1232,3,0.0622060418160081,0.0306626183314809,0.0218268713750399,0.00255039717730954
215,11,810,3,0.0556107999174695,0.0284963513486241,0.0214996159076003,0.00238114654602912
216,10,1021,6,0.0645492296571518,0.0313551561058501,0.0219970010986726,0.00232124763082802
217,7,2056,3,0.0584392889460825,0.0307943251231115,0.021879405510738,0.00251841526675355
218,10,1043,2,0.0595105751487226,0.0317734032471005,0.0213744868664983,0.00231390479761939
219,4,831,5,0.0655859893410442,0.0340983792698573,0.0220945653966465,0.00265591130520429
220,11,2077,4,0.0591534292566932,0.0290307194110417,0.021734229323581,0.00232625442838087
221,21,501,6,0.0740618154967595,0.0330780096605613,0.0216495814630244,0.00221636968722311
222,4,1551,2,0.064435445439169,0.0323278941090134,0.0219106328698444,0.00268476630992587
223,16,1625,6,0.0680531877290879,0.0326949014642249,0.0218553176381169,0.00228936183064681
224,18,1742,2,0.0671736478618758,0.0318931748071807,0.0214753990501216,0.0021913442723148
225,11,732,4,0.0587597081066667,0.0293837806332208,0.0217058469328111,0.00232924347032588
226,17,1296,3,0.0665934983693653,0.0326387058934261,0.0215176871709123,0.00216456672948114
227,21,761,7,0.0762426294455913,0.0340386664075546,0.0214777469838475,0.00222670939981894
228,19,905,7,0.0734501910637207,0.0360186729002881,0.0217750112846856,0.00221279887901554
229,7,1371,8,0.0650574006544137,0.0332453869203313,0.0225557753935135,0.00254543089279224
230,13,2176,4,0.0628011876864916,0.0296654211776277,0.0217460007757447,0.00227665182072273
231,7,1402,5,0.0586104307258216,0.0308478147317893,0.0220940720808395,0.00252278675944503
232,21,865,7,0.0781181022929413,0.0360979845584775,0.0220052289618848,0.00227053918141281
233,21,2025,1,0.0732614289553735,0.0339147877160356,0.0215642050796676,0.0021597774248042
234,5,790,1,0.0565445304491762,0.0283691929149219,0.0218749134493671,0.00263684930041992
235,21,2184,4,0.0734419199577629,0.0347730726443393,0.0213358673558495,0.00216217949381643
236,11,639,5,0.0574559090100323,0.0285260920782669,0.0214468984604037,0.00226632624743172
237,5,2152,5,0.062527136511651,0.0319512127047547,0.022221559587626,0.00265063428026238
238,13,1935,4,0.0608272163753144,0.03054643778109,0.0218006741619561,0.00232263061330123
239,8,1920,2,0.0616368413887018,0.0328228347823415,0.021699775519307,0.00241944778121388
240,7,620,2,0.0629585251375156,0.0297541809516712,0.021954565281313,0.00252909036539184
241,8,1104,7,0.0590896756274875,0.0294402908342531,0.0223362316539398,0.00258730606102484
242,23,2235,6,0.0793688309750082,0.0358550950384589,0.0216216911872231,0.00220027838898463
243,20,547,8,0.0797425373452893,0.0366483535264455,0.0222817002433143,0.00229570469562395
244,22,935,7,0.075339947541666,0.0353179967098075,0.0217894599580856,0.00218934584764642
245,15,1655,6,0.0638415453455137,0.0305888188666704,0.0218477856710095,0.00225481201165959
246,19,834,7,0.0705034369541613,0.0340774180425875,0.0217114986443747,0.00219602551395382
247,12,1048,3,0.0623513492564518,0.0311788055895508,0.0214132967899546,0.00224319419112606
248,15,2118,3,0.061802055710723,0.0303694386430758,0.021472256010516,0.00221594717107567
249,9,1525,4,0.0604401013669919,0.02869400722046,0.0218838449188224,0.00241704889957464
